group,Metro2013,n,x,y,spearman_rho,spearman_p
metro,1,33,pm25_mean_2019,B19083_001E:Gini Index,-0.02038770053475936,0.9103365440548119
nonmetro,0,11,pm25_mean_2019,B19083_001E:Gini Index,0.15454545454545454,0.6500339654975799
