variable,coef,std_err,z,p_value,n,k,aic,bic,pseudo_r2
CONSTANT,-10.27525776757777,10.139456196189869,-1.013393378181261,0.3108723010567952,44,5,186.39305601541932,195.31400418501062,0.31988203701218604
B19083_001E:Gini Index,29.133698066923404,21.890438413234047,1.3308869158742103,0.18322622308513292,44,5,186.39305601541932,195.31400418501062,0.31988203701218604
Metro2013,17.068383726970882,11.770343582030607,1.4501177138982262,0.1470256961896378,44,5,186.39305601541932,195.31400418501062,0.31988203701218604
gini_x_metro,-33.12973636803171,25.62539316316063,-1.2928479245992373,0.19606366135107645,44,5,186.39305601541932,195.31400418501062,0.31988203701218604
rho,0.39332996599223885,0.15453951704047839,2.54517403396061,0.010922328675482193,44,5,186.39305601541932,195.31400418501062,0.31988203701218604
