variable,coef,std_err,t,p_value,ci_low,ci_high
const,6.438132536421534,6.460260375857055,0.9965747759148817,0.3246781619933826,-6.599200723538594,19.475465796381663
B19083_001E:Gini Index,2.2004374145833587,14.006256264146762,0.15710389507980388,0.8759157902204067,-26.065332077077443,30.46620690624416
