variable,vif
z_med_income,2.1026635525344917
z_ratio_uninsured,2.1003472126431233
z_ratio_poverty,2.002234686361775
z_ratio_hispanic,1.5789314399258536
z_ratio_black,1.424053653084843
ln_nearest_hw_dist_m,1.1750101656019145
