variable,coef,std_err_hc1,t_hc1,p_value_hc1,ci_low_hc1,ci_high_hc1
const,57.81405313289193,11.054490066024687,5.229915879211829,1.695871890447425e-07,36.147650736027735,79.48045552975611
Med_income,-9.958692944757646e-05,3.667542516385671e-05,-2.7153585541993515,0.006620405012253591,-0.00017146944188642962,-2.7704417008723306e-05
percent_Poverty,0.05021975313472332,0.0849096158726323,0.5914495386488957,0.5542192563110672,-0.11620003591676648,0.21663954218621312
percent_Unemployed,-0.13913649319631638,0.13659953986982157,-1.018572195257118,0.3084061100980878,-0.40686667164590984,0.12859368525327708
percent_Uninsured,-0.11009044002640295,0.09675251792817234,-1.1378560722123272,0.2551805865662431,-0.29972189057918663,0.07954101052638074
percent_>=HighSch,-0.08117176932638859,0.08024519927338529,-1.0115467350245664,0.31175482472074556,-0.23844946983446347,0.07610593118168629
mobility_PC1,-0.21961083461105613,0.2211820569369758,-0.9928962486935937,0.32076051809795847,-0.6531197002340163,0.21389803101190402
percent_>=18,-0.25956198476219616,0.05365483893843839,-4.837624898287517,1.3139981647062361e-06,-0.36472353667783275,-0.1544004328465596
percent_Black,-0.10629607850640145,0.014600379328814451,-7.280364168115944,3.329202435682371e-13,-0.13491229615150085,-0.07767986086130205
percent_Hispanic,-0.12182456648712765,0.056682219752293254,-2.1492553929523703,0.031614160426742956,-0.23291967576540729,-0.010729457208848006
