variable,coef,std_err_HC1,t_HC1,p_value_HC1,ci95_low_HC1,ci95_high_HC1
const,46.30874008345043,4.6604229923738405,9.93659591827362,2.885183551411477e-23,37.17447886567532,55.44300130122554
Med_income,-0.00013078733394826237,1.8480738035612292e-05,-7.076954053254574,1.4735736258168853e-12,-0.00016700891490578198,-9.456575299074277e-05
percent_Poverty,-0.07189656705747478,0.0426569815002622,-1.6854583828682967,0.09190016771987496,-0.15550271448718006,0.011709580372230494
percent_Unemployed,-0.27161290815724226,0.10303223217814979,-2.636193571809693,0.008384188784321667,-0.4735523724731847,-0.06967344384129984
percent_Uninsured,-0.229627516636874,0.05654875811732176,-4.060699549943529,4.8925899759144256e-05,-0.3404610459172917,-0.11879398735645631
percent_>=HighSch,-0.2791924357591831,0.03336282042891544,-8.368370304724237,5.842055655990097e-17,-0.3445823622225345,-0.21380250929583172
percent_>=18,-0.13841666122905094,0.03198092468342046,-4.328100659979005,1.504007326238786e-05,-0.20109812180084308,-0.0757352006572588
percent_Black,-0.014114355278574794,0.009832463723009596,-1.4354851109742577,0.15114890812439283,-0.033385630054970215,0.005156919497820628
percent_Hispanic,0.032995943779039014,0.03135003526672017,1.052501009913251,0.29256974742260555,-0.02844899625779307,0.0944408838158711
