term,estimate,std_error_HC1,t_stat_HC1,p_value_HC1,ci95_low_HC1,ci95_high_HC1
const,39.74014241700678,4.1362012694963886,9.607884101308596,4.683951911895269e-12,31.38691449126719,48.09337034274637
SES_index,-0.9662787825435739,0.26792973936346254,-3.606463339378536,0.0008343913965005133,-1.507373868387766,-0.42518369669938194
percent_>=18,-0.1928743919850131,0.053997272219819537,-3.5719284337148265,0.0009226583940183153,-0.3019240955250146,-0.08382468844501162
percent_Black,-0.0950822655328126,0.014804396022764836,-6.422569714198665,1.0840919707375882e-07,-0.12498034984342554,-0.06518418122219966
percent_Hispanic,-0.1965299849543469,0.054819387793717304,-3.5850452342495998,0.0008881255395029302,-0.30723998457827284,-0.08581998533042094
