GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic,ln_nearest_hw_dist_m,z_ratio_poverty,z_ratio_uninsured,z_med_income,z_ratio_black,z_ratio_hispanic,ln_nearest_hw_dist_m_x_z_ratio_poverty,ln_nearest_hw_dist_m_x_z_ratio_black
1400000US37003040200,10.1,4549.374560276976,1,10.3,7.8,48623.0,4.42455242966752,4.245524296675192,8.422964829496808,-0.4521528670876909,-0.5357900106995886,-0.3334883590073997,-0.8268157448421948,-0.5725670289147294,-3.8084676970357654,-6.964239939280013
1400000US37007920100,11.1,6415.426200409436,0,14.8,7.0,34745.0,48.43286044209832,0.0,8.766616575084738,0.006756339634858032,-0.670054759496008,-0.8442699710124698,1.3143080733900394,-1.0757724203137076,0.059230239029848385,11.522034940948808
1400000US37005950200,10.3,3919.3527491779855,1,26.9,10.6,32388.0,3.7456211263810295,12.880625168418216,8.273936915771118,1.2407122065999339,-0.06586338991212094,-0.9310196654566224,-0.8598475983731132,0.4509177070784194,10.265574528035035,-7.114324786116439
1400000US37013930200,10.2,7108.8887698468325,0,18.6,19.8,50572.0,21.774193548387096,6.192939744370055,8.869241878490222,0.39427966975612166,1.4781812212467018,-0.2617551581284631,0.017291459337954722,-0.3417474918928494,3.496961758838289,0.15336213530039883
1400000US37001021400,9.5,8250.769727476856,0,12.5,9.1,53372.0,4.839883551673944,5.058224163027656,9.018182968745664,-0.22779725491222264,-0.3176097939054073,-0.15870079052403913,-0.8066087567087293,-0.47624089207974407,-2.054317324576421,-7.274145352191778
1400000US37009970800,9.3,6732.787062622623,0,18.8,11.1,40800.0,0.0,4.680932365303783,8.814892977988896,0.414675634499346,0.01805207808564115,-0.6214149010679029,-1.0420822483738117,-0.5209598133432374,3.655321338691375,-9.185843493677194
1400000US37001021201,10.8,3012.4998245575302,3,10.2,21.6,37429.0,26.954177897574123,19.245283018867926,8.010857414704258,-0.46235084945930327,1.7802769060386456,-0.7454849986373719,0.2693117793416624,1.2052957110541094,-3.7038267305858716,2.157418264406353
1400000US37007920600,11.0,10416.92684249664,0,9.0,11.2,40680.0,42.84572342126299,14.441779909405808,9.251283336059002,-0.5847266379186496,0.03483517168519351,-0.6258315168223783,1.0424786690953196,0.635955273130802,-5.4094718015266094,9.644265539598496
1400000US37001021205,9.6,1259.5454627530146,7,9.8,4.6,54333.0,27.67203513909224,5.329428989751098,7.1392998132151835,-0.503142778945752,-1.0728490058852662,-0.12333105935694931,0.30423748558491936,-0.444096044601769,-3.5920871477479754,2.172042624009472
1400000US37001021101,10.1,504.82614033874034,12,10.6,6.7,43098.0,29.94849153789551,5.702722590139809,6.22619301407628,-0.42155891997285444,-0.7204040402946652,-0.5368367093697006,0.4149932777700694,-0.39985101403217804,-2.624707202556528,2.583828246940623
