variable,coef,std_err,p_value,ci_low_95,ci_high_95
const,0.5282136624328011,11.282687685612029,0.9628926036841791,-22.274948755469307,23.33137608033491
B19083_001E:Gini Index,11.48366271569251,24.602369857535635,0.6431964990338138,-38.239581546585605,61.206906977970625
Metro2013,9.773199147528985,13.228208260377286,0.4643327143017089,-16.9620070253657,36.50840532042367
gini_x_metro,-16.45572331107695,28.785019620358668,0.5707398039301674,-74.63241807526707,41.720971453113165
