GEOID,Asthma_prev,geometry
1400000US37037020500,9.7,POINT (-79.46867694 35.58160714)
1400000US37021002203,9.6,POINT (-82.53263875 35.45435919)
1400000US37019020505,10.4,POINT (-78.54181187 33.99359345)
1400000US37051003205,9.8,POINT (-79.01647582 35.02655135)
1400000US37063002015,9.6,POINT (-78.9473533 35.96795248)
1400000US37057061400,12.5,POINT (-80.23885977 35.81994238)
1400000US37051003311,10.5,POINT (-79.00512686 35.06149283)
1400000US37023020802,9.9,POINT (-81.6318537 35.73751419)
1400000US37021002900,9.4,POINT (-82.41692959 35.76591748)
1400000US37035010302,8.7,POINT (-81.29920223 35.78303204)
1400000US37035010401,9.7,POINT (-81.31051569 35.75741112)
1400000US37049961001,8.3,POINT (-77.05346072 35.00381859)
1400000US37013930900,9.4,POINT (-76.96826 35.38861184)
1400000US37037020800,8.8,POINT (-79.14610544 35.71670643)
1400000US37021001500,9.7,POINT (-82.58808735 35.63093287)
1400000US37051003204,10.5,POINT (-78.992802 35.0188061)
1400000US37013930501,9.8,POINT (-76.99110441 35.51162885)
1400000US37037020300,9.5,POINT (-79.47437069 35.69165653)
1400000US37055970300,8.8,POINT (-75.68618178 36.00896462)
1400000US37057061300,10.4,POINT (-80.2585069 35.82918924)
1400000US37063001400,13.8,POINT (-78.88569919 35.97676682)
1400000US37057060201,9.6,POINT (-80.18001978 35.95866438)
1400000US37063001801,10.5,POINT (-78.82783468 36.05159754)
1400000US37031970602,8.5,POINT (-76.86989546 34.73016213)
1400000US37061090701,10.2,POINT (-77.91017638 34.81077432)
1400000US37063001809,9.4,POINT (-78.84169744 35.94254619)
1400000US37019020508,8.2,POINT (-78.5058608 33.92903952)
1400000US37057060602,9.0,POINT (-80.05860835 35.94223889)
1400000US37063001601,9.0,POINT (-78.88381453 36.09966403)
1400000US37023020201,10.1,POINT (-81.84948188 35.85150057)
1400000US37063001710,10.1,POINT (-78.91265504 36.05793429)
1400000US37025042401,8.9,POINT (-80.58688536 35.44431512)
1400000US37037020702,9.1,POINT (-79.01011577 35.66383507)
1400000US37021002804,8.7,POINT (-82.53733623 35.75042292)
1400000US37061090400,10.5,POINT (-77.94215703 34.9521467)
1400000US37047930400,10.6,POINT (-78.62061769 34.34191697)
1400000US37017950600,11.7,POINT (-78.51235403 34.47321548)
1400000US37025041602,9.4,POINT (-80.46304493 35.34254444)
1400000US37027030900,10.5,POINT (-81.69629271 35.95097139)
