GEOID,mobility_PC1,mobility_PC1_fitted,mobility_PC1_residual
0500000US45001,1.5650749775557151,1.3089871767798873,0.2560878007758278
0500000US45003,-0.0955377455015859,-1.324234107145347,1.228696361643761
0500000US45005,2.889693714801731,2.4052256199109574,0.4844680948907736
0500000US45007,-0.5562155440000806,-0.10502237435199566,-0.45119316964808487
0500000US45009,0.225312888987279,0.9764099014860232,-0.7510970124987443
0500000US45011,1.1141519431480162,1.4787541187442854,-0.3646021755962692
0500000US45013,-4.391255128538458,-4.071666631032468,-0.3195884975059906
0500000US45015,-2.2180492654014943,-2.4439320361607813,0.22588277075928698
0500000US45017,0.0913200498748377,-0.4434123052293393,0.5347323551041769
0500000US45019,-5.072528621681925,-3.9211699003256317,-1.151358721356293
0500000US45021,1.2805145501173367,1.8219983094648666,-0.5414837593475299
0500000US45023,1.172487992368433,0.7887650537201297,0.3837229386483033
0500000US45025,2.240492999838545,1.626693544082733,0.613799455755812
0500000US45027,1.538551472281971,1.2358110184298423,0.3027404538521288
0500000US45029,0.1505778909808584,0.4060494385931135,-0.2554715476122551
0500000US45031,1.2389521647230766,1.7856388783347015,-0.5466867136116249
0500000US45033,1.926130655610141,2.2821197103581294,-0.3559890547479885
0500000US45035,-2.661282867816952,-2.679427144084621,0.018144276267669124
0500000US45037,0.2491869145535815,0.39303425025348226,-0.14384733569990077
0500000US45039,1.7902153771005618,1.4659804707179078,0.32423490638265395
0500000US45041,0.5966622330498279,0.05670436201576769,0.5399578710340602
0500000US45043,-2.7852752176815936,-2.2902567482860645,-0.49501846939552907
0500000US45045,-2.156510393541891,-1.6542888971293155,-0.5022214964125755
0500000US45047,1.1033200737119555,1.5917139576629877,-0.4883938839510322
0500000US45049,1.259582901401419,1.896592134017906,-0.6370092326164869
0500000US45051,-2.3922130251959524,-2.771738256844034,0.3795252316480817
0500000US45053,-1.6001227285586286,-1.3800022364802378,-0.2201204920783908
0500000US45055,0.045361412557585,-1.100222697024504,1.145584109582089
0500000US45057,-1.6183060152251372,-1.5391440583648375,-0.0791619568602997
0500000US45059,1.553584303501328,0.8412652900372471,0.7123190134640808
0500000US45061,1.8701344690454824,1.577938414489262,0.29219605455622033
0500000US45063,-1.4260333029831034,-1.9692666066375173,0.5432333036544139
0500000US45065,0.3696612689576356,0.12764402331624644,0.24201724564138918
0500000US45067,2.928694746344828,2.119740663244628,0.8089540831002
0500000US45069,2.084835953868688,2.5140251048770077,-0.42918915100831967
0500000US45071,0.5026214219892984,0.6732821404809654,-0.17066071849166697
0500000US45073,0.8165694312807146,-0.06441833084622323,0.8809877621269377
0500000US45075,0.599144402273784,0.8353983119900666,-0.23625390971628268
0500000US45077,-0.7860261802283195,-0.23617838049897594,-0.5498477997293436
0500000US45079,-2.2150404817272107,-2.3128577642249857,0.097817282497775
0500000US45081,1.023051306437197,0.9207054239238344,0.10234588251336274
0500000US45083,-0.5586290447693163,-0.40095484001506443,-0.15767420475425187
0500000US45085,-0.2723961982221986,-0.7077936841322989,0.4353974859101003
0500000US45087,0.3469990130611582,1.4788161133367599,-1.1318171002756017
0500000US45089,1.3057246886275644,1.5157242137927902,-0.2099995251652258
0500000US45091,-3.0731894569767007,-2.709030645246681,-0.36415881173001985
