GEOID,Depression_prev,outcome_fitted,outcome_residual
0500000US45001,22.2,21.547170244273346,0.6528297557266534
0500000US45003,20.2,20.203158957142172,-0.003158957142172625
0500000US45005,18.1,17.74195485562164,0.3580451443783623
0500000US45007,22.0,22.1984181123901,-0.198418112390101
0500000US45009,19.6,18.326175570252538,1.2738244297474637
0500000US45011,20.4,21.440556846142464,-1.040556846142465
0500000US45013,16.6,18.66775743117191,-2.067757431171909
0500000US45015,18.8,19.884535628462366,-1.0845356284623655
0500000US45017,19.7,19.394848865560885,0.30515113443911446
0500000US45019,19.2,19.33252846190013,-0.13252846190012946
0500000US45021,22.2,22.966671256842755,-0.7666712568427556
0500000US45023,20.6,20.91899285869931,-0.31899285869930694
0500000US45025,19.6,21.2710996513775,-1.6710996513774994
0500000US45027,18.9,19.26726427194479,-0.3672642719447907
0500000US45029,20.4,21.13831213761453,-0.7383121376145318
0500000US45031,21.4,21.34326851004732,0.056731489952678515
0500000US45033,21.2,21.60997909224642,-0.40997909224642015
0500000US45035,20.5,20.18058729093025,0.3194127090697485
0500000US45037,19.7,19.212568213717905,0.4874317862820945
0500000US45039,18.7,18.525422525733376,0.1745774742666235
0500000US45041,19.8,20.17609748350269,-0.37609748350269
0500000US45043,19.2,19.788666225660158,-0.5886662256601589
0500000US45045,19.7,20.591144624559888,-0.8911446245598889
0500000US45047,21.0,21.26115013169222,-0.2611501316922187
0500000US45049,19.2,19.6651628364678,-0.4651628364678011
0500000US45051,21.0,20.76821117151465,0.23178882848534954
0500000US45053,18.5,18.25709303322111,0.24290696677888945
0500000US45055,20.9,21.049468305219655,-0.14946830521965637
0500000US45057,21.0,20.42894280489725,0.5710571951027497
0500000US45059,23.4,21.83057698888687,1.5694230111131269
0500000US45061,18.6,18.47676595454312,0.12323404545688277
0500000US45063,22.4,21.059883669860312,1.3401163301396863
0500000US45065,17.1,17.72420717677542,-0.6242071767754176
0500000US45067,19.1,20.002460108116562,-0.9024601081165606
0500000US45069,20.1,20.401996213242864,-0.3019962132428624
0500000US45071,20.6,20.41723963709204,0.18276036290795972
0500000US45073,21.6,22.37159949728748,-0.7715994972874789
0500000US45075,19.2,19.213017108887083,-0.01301710888708385
0500000US45077,24.5,23.15940627352842,1.3405937264715817
0500000US45079,19.8,18.505049875349428,1.2949501246505726
0500000US45081,20.8,20.239015919767258,0.5609840802327426
0500000US45083,23.1,21.258470212509618,1.8415297874903835
0500000US45085,19.9,19.658790790066195,0.24120920993380324
0500000US45087,22.6,22.301922619448852,0.29807738055114896
0500000US45089,19.3,18.716379452787248,0.5836205472127531
0500000US45091,20.6,20.506011103038,0.09398889696200285
