GEOID,bw,bw_criterion,kernel,fixed,centroid_x,centroid_y,b_Intercept,se_scaled_Intercept,t_Intercept,b_Med_income,se_scaled_Med_income,t_Med_income,b_percent_Poverty,se_scaled_percent_Poverty,t_percent_Poverty,b_percent_Unemployed,se_scaled_percent_Unemployed,t_percent_Unemployed,b_percent_Uninsured,se_scaled_percent_Uninsured,t_percent_Uninsured,b_percent__HighSch,se_scaled_percent__HighSch,t_percent__HighSch,b_mobility_PC1,se_scaled_mobility_PC1,t_mobility_PC1,b_percent__18,se_scaled_percent__18,t_percent__18,b_percent_Black,se_scaled_percent_Black,t_percent_Black,b_percent_Hispanic,se_scaled_percent_Hispanic,t_percent_Hispanic,gwr_localR2,gwr_pred,gwr_resid
0500000US45027,43,AICc,bisquare,False,682238.1394292505,203479.87854576917,56.03402253389676,0.08899825886560356,-0.8302145689733261,-0.00010286933860098478,0.31061783751765326,-2.351883423439801,-0.012377926680018624,0.2296307912636667,-0.14738750315261115,-0.12825214866063483,0.1094199674654739,-0.7581580781253223,-0.10340785293704324,0.14735646488979437,-0.9639352584686458,-0.06819003694737846,0.2381473409190537,-0.7705216826439947,-0.24246757315817352,0.2874397540748487,-0.9902724629086566,-0.25040513496263195,0.11620327702445163,-3.342467775470942,-0.08302060479080613,0.17075730161836536,-5.075030528396112,-0.09814699890703496,0.11190550703876723,-1.6615673528570265,0.820530591493103,19.20358072449672,-0.30358072449672235
0500000US45015,43,AICc,bisquare,False,707296.3553951402,151748.59793723,53.71782458645937,0.09223422858202847,-1.4152943733667736,-9.816809828008538e-05,0.32493369897572744,-2.1455165001972984,-0.02840346272172233,0.23232317195505486,-0.33428865550398257,-0.0895284264089932,0.1088718449702025,-0.5319086669864795,-0.056242957406213726,0.1511022144842543,-0.511282418690597,-0.05275981076858713,0.24293691938285375,-0.5844123492715011,-0.16769561145349168,0.29721418824393947,-0.6623690467845186,-0.24532005960189532,0.11776638097054304,-3.2311275810784994,-0.08071355564244648,0.17774273382313419,-4.740090935140074,-0.13718431893403468,0.11511787556897342,-2.2576368771977298,0.8043674416478425,19.78224548173225,-0.9822454817322495
0500000US45059,43,AICc,bisquare,False,517236.6812814119,294331.6406867362,48.72534187420857,0.0986056582134906,2.11305205178441,-7.089929762175217e-05,0.34137607443443096,-1.4749085329369724,0.1299793539708739,0.21004711041758792,1.6920007095189495,-0.2379046549740457,0.13610461428823217,-1.1306333430247533,-0.008560752332046097,0.17499631158594145,-0.06719648824021153,-0.03681331394379309,0.2641059740278128,-0.37509075909545,-0.2880398401718699,0.3183236710803369,-1.0622616336512831,-0.23383835094941,0.15052471465943118,-2.4096296648856064,-0.10243022567968589,0.13914047785019262,-7.684342056651395,-0.1339675902709097,0.1312401674382231,-1.9338614451901637,0.8446505201574688,22.226273037670335,1.1737269623296633
0500000US45035,43,AICc,bisquare,False,665019.2128629007,138328.74088018574,50.872075581436654,0.09487744902285984,-1.388376206725437,-8.154829598617378e-05,0.33517067365901126,-1.7278463254646141,-0.02791224367095366,0.23813051330285,-0.3204959735886033,-0.07936576992147767,0.10794585177141959,-0.4755749537617191,-0.016835996643776354,0.15392707657632232,-0.15024061356574187,-0.0435063921134975,0.2471351282969902,-0.4737271371392718,-0.07730908670147561,0.3030015074264837,-0.29952537675246144,-0.23738504711037534,0.11819776153094072,-3.115203926213219,-0.07661303025732445,0.1844684778149117,-4.335233816126628,-0.1420875269125331,0.1155472541098356,-2.329639445973413,0.8021157776504827,20.206564865286687,0.29343513471331306
0500000US45043,43,AICc,bisquare,False,764627.1383064091,178767.6198802687,56.120369901669505,0.09442756432745873,-1.362380467612334,-0.00011291176289684156,0.33069982599406256,-2.4247192321457294,-0.024302461444637463,0.23774879808206878,-0.2794954941501323,-0.1080025201038739,0.11249647029276201,-0.6209929809857414,-0.09546799433794981,0.15723324943181202,-0.8340209273720893,-0.05796862998997141,0.24911489716917806,-0.6261855081849417,-0.24961456294638878,0.3035547513845017,-0.9653410038752998,-0.2543906581102923,0.12327101431815754,-3.20097707207723,-0.08408877841657762,0.17930511416501527,-4.895278631143389,-0.12831654436965265,0.11663643532186875,-2.0842067709879637,0.8051652535721945,19.689462414495274,-0.48946241449527506
0500000US45031,43,AICc,bisquare,False,705494.7719818918,277632.51888788823,60.523292151824506,0.10031235662377945,0.14871583457776294,-0.00013663913906017804,0.36009011330530644,-2.6947603889983562,0.02977033372311869,0.2660112075854539,0.30600367799986733,-0.23022478844690145,0.13675184517319794,-1.088956636300575,-0.2238680981976492,0.16919909758253177,-1.8174300590187757,-0.08282675677220677,0.2615041266956482,-0.8523182440687989,-0.5040142422487904,0.32583957436266253,-1.8158787586902716,-0.26070026838564603,0.13466544819988185,-3.002808741539676,-0.08771750432933655,0.18050370807328459,-5.072618350718109,0.012728497914991322,0.16021001177242744,0.15051503665378915,0.8344047895004952,21.352319736791515,0.047680263208484064
0500000US45073,43,AICc,bisquare,False,420461.9650270266,325728.94523418567,55.617685727591564,0.10171657569314356,2.031820130928845,-5.783923332384638e-05,0.35944284965170764,-1.1427439071344319,0.16702650283640832,0.22765101927526116,2.0061281271556473,-0.3395667906281116,0.15568971593485628,-1.4107724888482018,-0.0420074254558657,0.18557116747482974,-0.3109417973658177,-0.06852287485678284,0.28017476216126735,-0.6581368961937026,-0.26136453511318786,0.34136408286750286,-0.8988282267780976,-0.2946227057657103,0.16206132254594763,-2.8198707909125122,-0.09924404705471211,0.14870699790265066,-6.96634709712604,-0.14665436099520948,0.13525976307797571,-2.0540865781737367,0.8382600053454133,22.467423942601073,-0.8674239426010715
0500000US45003,43,AICc,bisquare,False,550642.7449569402,189906.40343568812,50.99991686938766,0.09414431469790532,1.0190039305835898,-4.2227623573351884e-05,0.31185435152493846,-0.96161464426027,0.021945741640658167,0.23088477578003078,0.2598949513794547,-0.0713979981282139,0.13243106068696558,-0.34872884860969183,0.026152929346209115,0.16885406904579023,0.21275136200439482,-0.06326300344012889,0.2677305919517191,-0.6358599674230883,0.020734086784508686,0.3126662534203461,0.07784877298688636,-0.2486050791475614,0.1387227541250832,-2.7797431513888124,-0.09176279391886341,0.16017330000401767,-5.980101486609198,-0.1374448425274616,0.11638625118922892,-2.2372738864634565,0.8706646084699207,20.62070177569443,-0.42070177569443246
0500000US45009,43,AICc,bisquare,False,604549.4134234675,153197.81902954957,47.56666025875347,0.10979667682586017,-0.7068392527262999,-4.1811727744763137e-05,0.36178294274584183,-0.820741251752721,-0.014389316788135752,0.26371921878698446,-0.1491905350452936,-0.10461109440791255,0.11751592812010295,-0.5758013899750017,0.03927537037644379,0.18690147608571778,0.2886496911734392,-0.03402148800532475,0.2880831736677476,-0.3177935562768388,0.11366010513850115,0.33678572267597195,0.39618885161268214,-0.24347432996804957,0.14533910893435342,-2.5984421965211446,-0.06917037170781873,0.2123997705302762,-3.3993674829247684,-0.13153603830677174,0.12446733391837903,-2.0020815134515004,0.8213535144906963,18.981485592905898,0.6185144070941035
0500000US45079,43,AICc,bisquare,False,618576.456884513,242694.62438867436,48.387457760411195,0.1047330083322216,1.75778270287258,-0.00011316594350397813,0.30673318607770345,-2.620059888367895,0.028723697090039153,0.2526314782025213,0.31088212587594244,-0.1703653089411665,0.11887794144918085,-0.9269826109448857,-0.0508049225918055,0.16814638359750586,-0.4150322091732357,-0.057812307237843766,0.2738029000183624,-0.5681878381862815,-0.5096887937160062,0.32260455807086746,-1.8547375106920947,-0.16254932609298714,0.1448570644577324,-1.7405554661010354,-0.09629299052663759,0.17196358922423802,-5.845076815221967,-0.07316050569742641,0.14010882029238592,-0.9892444163886027,0.8625495046273325,19.524089590724834,0.2759104092751663
