GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces,total_visits,share_Full_Service_Restaurant,share_Sport_facilities,share_Parks,share_Fastfood_Restaurant,share_Convenience,share_Supermarket,share_Warehouse,share_Fruit,share_TobaccoStore,share_DrinkingPlaces
0500000US45001,22.2,45710.0,14.8,2.1,11.6,83.7,79.7,26.87289734963485,1.702633954213506,74375.0,4592.0,20977.0,77593.0,59588.0,28900.0,38099.0,140.0,1652.0,4789.0,310705.0,0.23937496982668446,0.01477929225471106,0.06751420157384014,0.24973206095814357,0.191783202716403,0.09301427398979739,0.1226211358040585,0.00045058817849728843,0.005316940506268003,0.015413334191596531
0500000US45003,20.2,57572.0,12.5,3.9,9.7,89.3,78.3,24.55532744205421,6.018625963283644,590526.0,50509.0,215367.0,456556.0,240353.0,220885.0,315936.0,1285.0,22070.0,48227.0,2161714.0,0.2731748973268434,0.02336525553334067,0.09962788787045834,0.21120092667207596,0.1111863086421238,0.10218049196147132,0.14615069338497136,0.0005944357116621348,0.010209491172282734,0.02230961172477025
0500000US45005,18.1,31800.0,25.4,7.3,11.4,76.2,80.4,73.21772639691714,3.600674373795761,7254.0,412.0,3769.0,10867.0,10680.0,4277.0,6822.0,4.0,80.0,1181.0,45346.0,0.15997000838001146,0.00908569664358488,0.08311648215939664,0.23964627530542937,0.23552242755700614,0.09431923433158382,0.1504432585013011,8.821064702509593e-05,0.0017642129405019186,0.026044193534159574
0500000US45007,22.0,56796.0,12.9,3.2,10.8,85.8,77.1,15.292523600183957,4.0465228979888535,838530.0,166128.0,281526.0,853651.0,323288.0,263036.0,423776.0,6463.0,27859.0,92957.0,3277214.0,0.2558667209404085,0.0506918376401419,0.08590406363453836,0.2604807009856543,0.09864720460732805,0.08026207626355801,0.12930983451187503,0.0019721019133935105,0.00850081807291193,0.0283646414301904
0500000US45009,19.6,44408.0,19.3,4.6,14.7,77.6,80.0,60.08133086876156,2.269870609981516,20008.0,2863.0,10066.0,20742.0,11744.0,6043.0,14048.0,32.0,204.0,3380.0,89130.0,0.22448109502973185,0.032121620105463926,0.11293616066419836,0.2327162571524739,0.131762593963873,0.06779984292606306,0.15761247615842028,0.0003590261415909346,0.002288791652642208,0.03792213620554247
0500000US45011,20.4,38237.0,25.5,4.3,13.1,81.4,76.1,45.88240949954329,2.658526032402289,54867.0,2009.0,34738.0,61351.0,27476.0,22079.0,45350.0,64.0,1042.0,7031.0,256007.0,0.21431835848238526,0.007847441671516794,0.1356916021827528,0.2396457909354041,0.107325190326827,0.0862437355228568,0.17714359372985894,0.00024999316424941507,0.004070201205435789,0.027464092778713083
0500000US45013,16.6,74199.0,9.8,2.0,9.6,93.4,81.5,16.724101781115763,11.20441703806846,679790.0,218077.0,284872.0,374149.0,110273.0,235165.0,230529.0,2047.0,27012.0,118819.0,2280733.0,0.2980576858404732,0.09561706696925945,0.12490370420386779,0.16404769870037395,0.04834980683841555,0.10310939509359492,0.1010767152490011,0.000897518473227686,0.011843560820139841,0.052096847811646516
0500000US45015,18.8,70786.0,10.2,2.6,10.5,89.6,76.1,23.27428983212192,7.077213241639459,718931.0,120105.0,542490.0,542522.0,178846.0,267118.0,366778.0,3019.0,10132.0,130765.0,2880706.0,0.2495676407102981,0.041692904447729134,0.18831841916530184,0.18832952755331506,0.062084086331614545,0.09272657466607144,0.12732226058473167,0.0010480069816218662,0.003517193354684581,0.045393386204631785
0500000US45017,19.7,52491.0,18.3,2.8,9.4,86.1,80.8,39.71686152979293,3.965347232004508,23711.0,3543.0,13439.0,28474.0,16198.0,13663.0,15643.0,76.0,276.0,6797.0,121820.0,0.19463963224429487,0.02908389427023477,0.11031850270891479,0.23373830241339683,0.1329666721392218,0.11215728123460844,0.12841076998850764,0.0006238712855032014,0.0022656378263011,0.05579543588901658
0500000US45019,19.2,70807.0,11.6,2.4,9.8,92.9,80.3,25.24558830066231,5.307621263081992,1474251.0,295616.0,1535259.0,809202.0,255968.0,462032.0,414423.0,4253.0,37379.0,374947.0,5663330.0,0.26031522090360265,0.05219826497837844,0.27108768162900626,0.14288448668892684,0.045197436843694434,0.08158309687056908,0.07317655866778026,0.0007509716015135971,0.0066001804591997995,0.06620610135732864
