GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic,ln_nearest_hw_dist_m,z_ratio_poverty,z_ratio_uninsured,z_med_income,z_ratio_black,z_ratio_hispanic,ln_nearest_hw_dist_m_x_z_ratio_poverty,ln_nearest_hw_dist_m_x_z_ratio_black,x,y
1400000US37003040200,10.1,4549.374560276976,1,10.3,7.8,48623.0,4.42455242966752,4.245524296675192,8.422964829496808,-0.4521528670876909,-0.5357900106995886,-0.3334883590073997,-0.8268157448421948,-0.5725670289147294,-3.808467697035765,-6.964239939280013,407422.9885454417,249385.07298789785
1400000US37007920100,11.1,6415.426200409436,0,14.8,7.0,34745.0,48.43286044209832,0.0,8.766616575084738,0.006756339634858,-0.670054759496008,-0.8442699710124698,1.3143080733900394,-1.0757724203137076,0.0592302390298483,11.522034940948808,523747.86148785683,137476.55466097264
1400000US37005950200,10.3,3919.3527491779855,1,26.9,10.6,32388.0,3.7456211263810295,12.880625168418216,8.273936915771118,1.240712206599934,-0.0658633899121209,-0.9310196654566224,-0.8598475983731132,0.4509177070784194,10.265574528035035,-7.114324786116439,419808.9445781875,309372.6734525076
1400000US37013930200,10.2,7108.8887698468325,0,18.6,19.8,50572.0,21.774193548387096,6.192939744370055,8.869241878490222,0.3942796697561216,1.4781812212467018,-0.2617551581284631,0.0172914593379547,-0.3417474918928494,3.496961758838289,0.1533621353003988,789420.8406057318,211714.337648881
1400000US37001021400,9.5,8250.769727476856,0,12.5,9.1,53372.0,4.839883551673944,5.058224163027656,9.018182968745664,-0.2277972549122226,-0.3176097939054073,-0.1587007905240391,-0.8066087567087293,-0.476240892079744,-2.054317324576421,-7.274145352191778,573167.3857376018,270555.27198825905
1400000US37009970800,9.3,6732.787062622623,0,18.8,11.1,40800.0,0.0,4.680932365303783,8.814892977988896,0.414675634499346,0.0180520780856411,-0.6214149010679029,-1.0420822483738117,-0.5209598133432374,3.655321338691375,-9.185843493677194,397205.91318747227,302956.21159429074
1400000US37001021201,10.8,3012.4998245575302,3,10.2,21.6,37429.0,26.954177897574123,19.245283018867926,8.010857414704258,-0.4623508494593032,1.7802769060386456,-0.7454849986373719,0.2693117793416624,1.2052957110541094,-3.703826730585872,2.157418264406353,577798.2572591829,261491.397386336
1400000US37007920600,11.0,10416.92684249664,0,9.0,11.2,40680.0,42.84572342126299,14.441779909405808,9.251283336059002,-0.5847266379186496,0.0348351716851935,-0.6258315168223783,1.0424786690953196,0.635955273130802,-5.4094718015266094,9.644265539598496,507778.23500646185,123903.52555144926
1400000US37001021205,9.6,1259.5454627530146,7,9.8,4.6,54333.0,27.67203513909224,5.329428989751098,7.139299813215184,-0.503142778945752,-1.0728490058852662,-0.1233310593569493,0.3042374855849193,-0.444096044601769,-3.5920871477479754,2.172042624009472,584100.4494227632,257632.43827954546
1400000US37001021101,10.1,504.82614033874034,12,10.6,6.7,43098.0,29.94849153789551,5.702722590139809,6.22619301407628,-0.4215589199728544,-0.7204040402946652,-0.5368367093697006,0.4149932777700694,-0.399851014032178,-2.624707202556528,2.583828246940623,575689.9802208658,257416.29403981214
1400000US37001021207,10.1,1812.8577288851168,6,12.9,7.9,57625.0,7.105868814729574,10.845799769850403,7.503211198098289,-0.1870053254257738,-0.5190069171000362,-0.0021685671591765,-0.6963624137427332,0.2097378104242475,-1.4031404518386807,-5.22495426072923,583323.1307372953,261349.25507810115
1400000US37009970400,9.4,4248.466569254405,2,15.7,12.0,42266.0,0.8948101014118115,6.780672101809506,8.354548740924422,0.0985381809793676,0.169099920481613,-0.5674585786007295,-0.9985473044630744,-0.2720858740816466,0.8232420358341591,-8.342412125255454,382069.8043054365,298053.7314542284
1400000US37001022002,10.4,10164.112481249816,0,11.1,12.1,45049.0,7.889413351314903,15.801303663744662,9.22671679154474,-0.3705690081147934,0.1858830140811653,-0.4650298982281894,-0.6582408420282582,0.7970943068784238,-3.419135289598843,-6.073401830022678,583691.3118075426,246839.3565113114
1400000US37001020602,8.5,1402.5188296066992,26,5.1,4.8,65893.0,3.7149355572403335,6.482183472327521,7.246737811890565,-0.9824479504115254,-1.0392828186861611,0.3021362583241726,-0.8613405347283257,-0.3074645639985207,-7.119542710461588,-6.241909021929796,567947.5457428101,260331.44271114413
1400000US37007920300,9.4,4366.281131100932,1,13.4,9.8,50659.0,26.74759871931697,4.255602988260406,8.381895927667433,-0.1360154135677128,-0.2001281387085401,-0.2585531117064685,0.259261140748779,-0.5713724410170935,-1.1400670410832137,2.173099899844604,496918.05448939046,143572.12163555657
1400000US37001021500,9.5,7867.594991812929,0,7.8,7.7,58071.0,7.668067226890757,4.873949579831933,8.970634798385019,-0.707102426377996,-0.5525731042991411,0.0142465213949567,-0.6690099326950494,-0.4980822377610079,-6.343157632088932,-6.00144378269943,566437.7431687197,271808.496182967
1400000US37009970500,9.5,2320.2770909955134,3,20.8,16.9,35753.0,1.781126905292002,6.199691728035623,7.749872783463869,0.61863528193159,0.9914715068596812,-0.8071703986748772,-0.9554255825656702,-0.3409472056747697,4.794344734332126,-7.404426718950799,389712.59655824874,299249.718499144
