term,diagnostic_value
n_obs,46.0
r_squared,0.6703826780068812
adj_r_squared,0.6382248904953574
aic,130.72118601374996
bic,139.86439299619545
f_stat,20.846666698281055
f_p_value,1.9399334955537973e-09
rmse,0.8987487788148215
mae,0.7162710609259786
durbin_watson,1.3136638372109155
jarque_bera_stat,0.07503088273447206
jarque_bera_p_value,0.9631795447969275
omnibus_stat,0.5177326725152664
omnibus_p_value,0.7719261946924091
resid_skew,0.037282304876648985
resid_kurtosis,3.1832666540480727
breusch_pagan_lm_stat,4.8975390205830465
breusch_pagan_lm_p_value,0.29797311741833393
breusch_pagan_f_stat,1.2213325860491653
breusch_pagan_f_p_value,0.3166188648884724
condition_number,2865.1592679260066
