model,dependent,variable,coef,std_err_HC1,t_stat,p_value,r_squared,adj_r_squared,n_obs
OLS_1_mobility_PC1,mobility_PC1,const,46.30874008345043,4.6604229923738405,9.93659591827362,2.885183551411477e-23,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,Med_income,-0.00013078733394826237,1.8480738035612292e-05,-7.076954053254574,1.4735736258168853e-12,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,percent_Poverty,-0.07189656705747478,0.0426569815002622,-1.6854583828682967,0.09190016771987496,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,percent_Unemployed,-0.27161290815724226,0.10303223217814979,-2.636193571809693,0.008384188784321667,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,percent_Uninsured,-0.229627516636874,0.05654875811732176,-4.060699549943529,4.8925899759144256e-05,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,percent_>=HighSch,-0.2791924357591831,0.03336282042891544,-8.368370304724237,5.842055655990097e-17,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,percent_>=18,-0.13841666122905094,0.03198092468342046,-4.328100659979005,1.504007326238786e-05,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,percent_Black,-0.014114355278574794,0.009832463723009596,-1.4354851109742577,0.15114890812439283,0.9125466722875326,0.8936378446740262,46
OLS_1_mobility_PC1,mobility_PC1,percent_Hispanic,0.032995943779039014,0.03135003526672017,1.052501009913251,0.29256974742260555,0.9125466722875326,0.8936378446740262,46
OLS_2_mobility_diversity,mobility_diversity,const,1.423867505369397,0.41708722339187115,3.4138363045266744,0.0006405504920889401,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,Med_income,2.6823290532738084e-06,1.602567123091582e-06,1.6737701745055213,0.09417577613578484,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,percent_Poverty,0.002844122176519281,0.0033165455877264918,0.8575555804342013,0.39113791173335366,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,percent_Unemployed,0.009797402167464109,0.00822643120881217,1.1909662791526308,0.23366682305280884,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,percent_Uninsured,0.0020078112449564874,0.00443920458219554,0.45229076691109943,0.6510595266122599,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,percent_>=HighSch,0.004722127624283094,0.0027673417314291546,1.7063767624551442,0.0879379542558168,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,percent_>=18,-0.00257300287459597,0.0027853335170844786,-0.9237683239058697,0.3556069506133195,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,percent_Black,0.0009884797292964605,0.00040506668183080643,2.4402889046039626,0.014675520138766164,0.2888373388742096,0.13507243917133593,46
OLS_2_mobility_diversity,mobility_diversity,percent_Hispanic,-0.0002789556032838881,0.003375354500416263,-0.08264483130571505,0.9341339529537982,0.2888373388742096,0.13507243917133593,46
