variable,coef,std_err,z_value,p_value,n,k,lambda,log_likelihood,aic,bic,pseudo_r2
CONSTANT,0.4272434314015417,5.769348486756877,0.07405401708394771,0.9409674037955644,44,2,0.58231707034551,-91.24227983159523,186.48455966319045,190.05293893102697,0.0005873128097504889
B19083_001E:Gini Index,14.570879787259226,12.506137220838475,1.1650983457130435,0.24397918643385474,44,2,0.58231707034551,-91.24227983159523,186.48455966319045,190.05293893102697,0.0005873128097504889
